,Word,Translation,Part_of_Speech
2000,merely,apenas,adverb
2001,mass,massa,noun
2002,to emphasize,enfatizar,verb
2003,experiment,experimentar,noun
2004,definitely,definitivamente,adverb
2005,bomb,bomba,noun
2006,enormous,enorme,adjective
2007,tone,tom,noun
2008,liberal,liberal,adjective
2009,massive,maciço,adjective
2010,engineer,engenheiro,noun
2011,wheel,roda,noun
2012,female,fêmea,noun
2013,to decline,"recusar, negar",verb
2014,to invest,investir,verb
2015,promise,promessa,noun
2016,cable,cabo,noun
2017,towards,em direção,preposition
2018,to expose,expor,verb
2019,rural,rural,adjective
2020,AIDS,AIDS,noun
2021,Jew,judeu,noun
2022,narrow,estreito,adjective
2023,cream,creme,noun
2024,secretary,secretário,noun
2025,gate,portão,noun
2026,solid,sólido,adjective
2027,hill,colina,noun
2028,typically,tipicamente,adverb
2029,noise,ruído,noun
2030,grass,grama,noun
2031,unfortunately,infelizmente,adverb
2032,hat,chapéu,noun
2033,legislation,legislação,noun
2034,to succeed,"ter sucesso, ser bem sucedido",verb
2035,either,ou...ou / qualquer um,determiner
2036,to celebrate,celebrar,verb
2037,achievement,conquista,noun
2038,fishing,pescaria,noun
2039,drink,bebida,noun
2040,to accuse,acusar,verb
2041,to hand,entregar,verb
2042,useful,útil,adjective
2043,to land,pousar,verb
2044,secret,segredo,adjective
2045,to reject,rejeitar,verb
2046,talent,talento,noun
2047,taste,gosto,noun
2048,characteristic,característica,noun
2049,milk,leite,noun
2050,to escape,escapar,verb
2051,to cast,lançar,verb
2052,sentence,frase,noun
2053,unusual,incomum,adjective
2054,closely,de perto,adverb
2055,to convince,convencer,verb
2056,height,altura,noun
2057,physician,médico,noun
2058,to assess,avaliar,verb
2059,sleep,dormir,noun
2060,plenty,bastante,pronoun
2061,ride,passeio,noun
2062,virtually,virtualmente,adverb
2063,first,primeiro,adverb
2064,addition,adição,preposition
2065,sharp,afiado,adjective
2066,creative,criativo,adjective
2067,to lower,abaixar,verb
2068,behind,atras do,adverb
2069,to approve,aprovar,verb
2070,explanation,explicação,noun
2071,outside,fora,adjective
2072,gay,gay,adjective
2073,campus,campus,noun
2074,proper,apropriado,adjective
2075,live,viver,adjective
2076,guilty,culpado,adjective
2077,living,vivo,adjective
2078,to acquire,adquirir,verb
2079,to compete,competir,verb
2080,technical,técnico,adjective
2081,plus,mais,preposition
2082,to mind,à mente,verb
2083,potential,potencial,noun
2084,immigrant,imigrante,noun
2085,weak,fraco,adjective
2086,illegal,ilegal,adjective
2087,hi,oi,u
2088,alternative,alternativa,noun
2089,interaction,interação,noun
2090,column,coluna,noun
2091,personality,personalidade,noun
2092,signal,sinal,noun
2093,curriculum,currículo,noun
2094,to list,listar,verb
2095,honor,honra,noun
2096,passenger,passageiro,noun
2097,assistance,assistência,noun
2098,forever,para todo sempre,adverb
2099,fun,diversão,adjective
2100,to regard,considerar,verb
2101,Israeli,israelense,adjective
2102,association,associação,noun
2103,twenty,vinte,number
2104,to knock,bater,verb
2105,to review,rever,verb
2106,to wrap,embrulhar,verb
2107,lab,laboratório,noun
2108,offer,oferta,noun
2109,to display,mostrar,verb
2110,criticism,crítica,noun
2111,asset,ativo,noun
2112,depression,depressão,noun
2113,spiritual,espiritual,adjective
2114,musical,musical,adjective
2115,journalist,jornalista,noun
2116,prayer,oração,noun
2117,to suspect,suspeitar,verb
2118,scholar,estudioso,noun
2119,warning,aviso,noun
2120,climate,clima,noun
2121,cheese,queijo,noun
2122,observation,observação,noun
2123,childhood,infância,noun
2124,payment,forma de pagamento,noun
2125,sir,senhor,noun
2126,to permit,permitir,verb
2127,cigarette,cigarro,noun
2128,definition,definição,noun
2129,priority,prioridade,noun
2130,bread,pão,noun
2131,creation,criação,noun
2132,graduate,graduado,noun
2133,request,solicitação,noun
2134,emotion,emoção,noun
2135,to scream,gritar,verb
2136,dramatic,dramático,adjective
2137,universe,universo,noun
2138,gap,gap = vão,noun
2139,excellent,excelente,adjective
2140,deeply,profundamente,adverb
2141,prosecutor,promotor,noun
2142,mark,marca,noun
2143,green,verde,noun
2144,lucky,afortunado,adjective
2145,to drag,arrastar,verb
2146,airline,cia aérea,noun
2147,library,biblioteca,noun
2148,agenda,agenda,noun
2149,to recover,recuperar,verb
2150,factory,fábrica,noun
2151,selection,seleção,noun
2152,primarily,principalmente,adverb
2153,roof,teto,noun
2154,unable,impossível,adjective
2155,expense,despesa,noun
2156,initiative,iniciativa,noun
2157,diet,dieta,noun
2158,to arrest,prender,verb
2159,funding,financiamento,noun
2160,therapy,terapia,noun
2161,to wash,lavar,verb
2162,schedule,agendar,noun
2163,sad,triste,adjective
2164,brief,"curto, breve",adjective
2165,housing,habitação,noun
2166,post,publicar,noun
2167,to purchase,comprar,verb
2168,existing,existir,adjective
2169,dark,sombrio,noun
2170,steel,aço,noun
2171,regarding,em relação a,preposition
2172,to shout,gritar,verb
2173,remaining,remanescente,adjective
2174,visual,visual,adjective
2175,fairly,com justiça,adverb
2176,chip,lasca,noun
2177,violent,violento,adjective
2178,silent,silencioso,adjective
2179,to suppose,para supor,verb
2180,self,auto,noun
2181,bike,bicicleta,noun
2182,tea,chá,noun
2183,to perceive,perceber,verb
2184,comparison,comparação,noun
2185,settlement,assentamento,noun
2186,layer,camada,noun
2187,planning,planejamento,noun
2188,far,distante,conjunction
2189,description,descrição,noun
2190,later,mais tarde,adjective
2191,to slow,"abrandar, diminuir a velocidade",verb
2192,to slide,deslizar,verb
2193,widely,largamente,adverb
2194,wedding,casamento,noun
2195,to inform,informar,verb
2196,portion,parte,noun
2197,territory,território,noun
2198,immediate,imediato,adjective
2199,opponent,oponente,noun
2200,to abandon,abandonar,verb
2201,link,link,noun
2202,mass,massa,adjective
2203,lake,lago,noun
2204,to transform,transformar,verb
2205,tension,tensão,noun
2206,display,mostrar,noun
2207,leading,principal,adjective
2208,to bother,incomodar,verb
2209,to consist,consistir,verb
2210,alcohol,álcool,noun
2211,to enable,para habilitar,verb
2212,to bend,dobrar,verb
2213,saving,salvando,noun
2214,gain,ganho,noun
2215,desert,deserto,noun
2216,to shall,a deve,verb
2217,error,erro,noun
2218,release,liberar,noun
2219,cop,policial,noun
2220,Arab,árabe,adjective
2221,double,duplo,adjective
2222,walk,caminhar,noun
2223,sand,areia,noun
2224,Spanish,espanhol,adjective
2225,to rule,governar,verb
2226,hit,bater,noun
2227,print,impressão,noun
2228,to preserve,preservar,verb
2229,passage,passagem,noun
2230,formal,formal,adjective
2231,transition,transição,noun
2232,existence,existência,noun
2233,album,álbum,noun
2234,participation,participação,noun
2235,to arrange,organizar,verb
2236,atmosphere,atmosfera,noun
2237,joint,articulação,adjective
2238,to reply,responder,verb
2239,cycle,ciclo,noun
2240,opposite,oposto,adjective
2241,to lock,trancar,verb
2242,whole,inteira,noun
2243,to deserve,merecer,verb
2244,consistent,consistente,adjective
2245,resistance,resistência,noun
2246,discovery,descoberta,noun
2247,to tear,rasgar,verb
2248,exposure,exposição,noun
2249,to pose,posar,verb
2250,stream,stream,noun
2251,sale,oferta,noun
2252,trust,Confiar em,noun
2253,to benefit,beneficiar,verb
2254,pot,Panela,noun
2255,grand,grande,adjective
2256,mine,meu,pronoun
2257,hello,"oi, olá",u
2258,coalition,aliança,noun
2259,tale,conto,noun
2260,knife,faca,noun
2261,to resolve,resolver,verb
2262,racial,racial,adjective
2263,phase,fase,noun
2264,present,presente,noun
2265,joke,Piada,noun
2266,coat,casaco,noun
2267,Mexican,mexicano,adjective
2268,symptom,sintoma,noun
2269,to contact,contactar,verb
2270,manufacturer,fabricante,noun
2271,philosophy,filosofia,noun
2272,potato,batata,noun
2273,to interview,entrevistar,verb
2274,foundation,Fundação,noun
2275,to quote,citar,verb
2276,online,conectados,adjective
2277,pass,passar,noun
2278,negotiation,negociação,noun
2279,good,Boa,noun
2280,to urge,incitar,verb
2281,occasion,ocasião,noun
2282,dust,pó,noun
2283,to breathe,respirar,verb
2284,to elect,eleger,verb
2285,investigator,investigador,noun
2286,jacket,jaqueta,noun
2287,glad,"alegre, feliz",adjective
2288,ordinary,comum,adjective
2289,reduction,redução,noun
2290,rarely,raramente,adverb
2291,shift,mudança,noun
2292,to pack,fazer as malas,verb
2293,suicide,suicídio,noun
2294,numerous,numeroso,adjective
2295,touch,tocar,noun
2296,substance,substância,noun
2297,discipline,disciplina,noun
2298,elsewhere,em outro lugar,adverb
2299,iron,ferro,noun
2300,practical,prático,adjective
2301,moreover,além disso,adverb
2302,passion,paixão,noun
2303,volunteer,voluntário,noun
2304,to implement,implementar,verb
2305,essentially,essencialmente,adverb
2306,gene,gene,noun
2307,enforcement,execução,noun
2308,vs,versus,preposition
2309,sauce,molho,noun
2310,independence,independência,noun
2311,marketing,marketing,noun
2312,priest,padre,noun
2313,amazing,incrível,adjective
2314,intense,intenso,adjective
2315,advance,avançar,noun
2316,employer,Empregador,noun
2317,shock,choque,noun
2318,to inspire,inspirar,verb
2319,to adjust,ajustar,verb
2320,to retire,aposentar-se,verb
2321,sure,certo,adverb
2322,visible,visível,adjective
2323,to kiss,beijar,verb
2324,illness,doença,noun
2325,cap,boné,noun
2326,habit,hábito,noun
2327,competitive,competitivo,adjective
2328,juice,suco,noun
2329,congressional,congressista,adjective
2330,involvement,envolvimento,noun
2331,to dominate,dominar,verb
2332,previously,anteriormente,adverb
2333,whenever,em qualquer momento,adverb
2334,to transfer,transferir,verb
2335,to analyze,analisar,verb
2336,another,outro,pronoun
2337,to attach,anexar,verb
2338,for,por,conjunction
2339,Indian,indiano,noun
2340,disaster,desastre,noun
2341,parking,estacionamento,noun
2342,prospect,perspectiva,noun
2343,boss,patrão,noun
2344,complaint,reclamação,noun
2345,championship,campeonato,noun
2346,to coach,treinar,verb
2347,to exercise,exercitar,verb
2348,fundamental,fundamental,adjective
2349,severe,"severo, forte",adjective
2350,to enhance,melhorar,verb
2351,mystery,mistério,noun
2352,to impose,obrigar,verb
2353,poverty,pobreza,noun
2354,other,outro,preposition
2355,entry,entrada,noun
2356,fat,gordo,adjective
2357,spending,gastar,noun
2358,king,rei,noun
2359,to evaluate,avaliar,verb
2360,symbol,símbolo,noun
2361,still,ainda,adjective
2362,to trade,negociar,verb
2363,maker,criador,noun
2364,mood,humor,noun
2365,to accomplish,realizar,verb
2366,emphasis,ênfase,noun
2367,to illustrate,ilustrar,verb
2368,boot,bota,noun
2369,to monitor,monitorar,verb
2370,Asian,asiático,adjective
2371,entertainment,entretenimento,noun
2372,bean,feijão,noun
2373,evaluation,avaliação,noun
2374,creature,criatura,noun
2375,commander,comandante,noun
2376,digital,digital,adjective
2377,arrangement,arranjo,noun
2378,to concentrate,concentrar,verb
2379,total,total,noun
2380,usual,"habitual, usual",adjective
2381,anger,raiva,noun
2382,psychological,psicológico,adjective
2383,heavily,fortemente,adverb
2384,peak,pico,noun
2385,approximately,aproximadamente,adverb
2386,increasing,aumentando,adjective
2387,disorder,transtorno,noun
2388,missile,míssil,noun
2389,equally,igualmente,adverb
2390,to vary,variar,verb
2391,wire,arame,noun
2392,round,redondo,noun
2393,distribution,distribuição,noun
2394,transportation,transporte,noun
2395,holy,piedosos,adjective
2396,to ring,tocar,verb
2397,twin,gêmeo,noun
2398,command,comando,noun
2399,commission,comissão,noun
2400,interpretation,interpretação,noun
2401,breakfast,café da manhã,noun
2402,stop,Pare,noun
2403,strongly,fortemente,adverb
2404,engineering,Engenharia,noun
2405,luck,sorte,noun
2406,so-called,chamado,adjective
2407,constant,constante,adjective
2408,to race,correr,verb
2409,clinic,clínica,noun
2410,veteran,veterano,noun
2411,to smell,cheirar,verb
2412,tablespoon,colher de sopa,noun
2413,capable,capaz,adjective
2414,nervous,nervoso,adjective
2415,tourist,turista,noun
2416,to light,acender,verb
2417,to toss,jogar,verb
2418,crucial,crucial,adjective
2419,to bury,enterrar,verb
2420,to pray,para rezar,verb
2421,tomato,tomate,noun
2422,exception,exceção,noun
2423,butter,manteiga,noun
2424,deficit,déficit,noun
2425,bathroom,banheiro,noun
2426,objective,objetivo,noun
2427,to block,bloquear,verb
2428,electronic,eletrônico,adjective
2429,ally,aliado,noun
2430,journey,jornada,noun
2431,reputation,reputação,noun
2432,mixture,mistura,noun
2433,surely,certamente,adverb
2434,tower,torre,noun
2435,smoke,fumaça,noun
2436,to confront,confrontar,verb
2437,pure,puro,adjective
2438,to glance,olhar de relance,verb
2439,dimension,dimensão,noun
2440,toy,brinquedo,noun
2441,prisoner,prisioneiro,noun
2442,fellow,amigo,adjective
2443,smooth,suave,adjective
2444,nearby,próximo,adjective
2445,peer,par,noun
2446,designer,desenhista,noun
2447,personnel,pessoal,noun
2448,to shape,moldar,verb
2449,educator,educador,noun
2450,relative,relativo,noun
2451,immigration,imigração,noun
2452,belt,cinto,noun
2453,teaspoon,colher de chá,noun
2454,birthday,aniversário,noun
2455,implication,implicação,noun
2456,perfectly,perfeitamente,adverb
2457,coast,costa,noun
2458,supporter,torcedor,noun
2459,to accompany,acompanhar,verb
2460,silver,prata,noun
2461,teenager,adolescente,noun
2462,recognition,reconhecimento,noun
2463,retirement,aposentadoria,noun
2464,flag,bandeira,noun
2465,recovery,recuperação,noun
2466,to whisper,sussurar,verb
2467,watch,ver,noun
2468,gentleman,cavalheiro,noun
2469,corn,milho,noun
2470,moon,lua,noun
2471,inner,interno,adjective
2472,junior,júnior,adjective
2473,rather,em vez,conjunction
2474,throat,garganta,noun
2475,salary,salário,noun
2476,to swing,balançar,verb
2477,observer,observador,noun
2478,due,a verncer,adjective
2479,straight,reto,adjective
2480,publication,publicação,noun
2481,pretty,bonito,adjective
2482,crop,colheita,noun
2483,to dig,cavar,verb
2484,strike,batida,noun
2485,permanent,permanente,adjective
2486,to plant,plantar,verb
2487,phenomenon,fenômeno,noun
2488,anxiety,ansiedade,noun
2489,unlike,diferente,preposition
2490,wet,molhado,adjective
2491,literally,literalmente,adverb
2492,to resist,resistir,verb
2493,convention,convenção,noun
2494,to embrace,abraçar,verb
2495,to supply,suprir,verb
2496,to assist,ajudar,verb
2497,exhibition,exibição,noun
2498,to construct,construir,verb
2499,viewer,espectador,noun
2500,pan,frigideira,noun
2501,consultant,consultor,noun
2502,soon,em breve,conjunction
2503,to line,para a linha,verb
2504,administrator,administrador,noun
2505,to date,até a presente data,verb
2506,occasionally,ocasionalmente,adverb
2507,mayor,prefeito,noun
2508,consideration,consideração,noun
2509,CEO,CEO,noun
2510,to secure,assegurar,verb
2511,pink,rosa,adjective
2512,to smoke,fumar,verb
2513,estimate,estimativa,noun
2514,buck,bode,noun
2515,historic,histórico,adjective
2516,poem,poema,noun
2517,grandmother,vovó,noun
2518,to bind,ligar,verb
2519,fifth,quinto,number
2520,constantly,constantemente,adverb
2521,enterprise,empreendimento,noun
2522,to favor,favorecer,verb
2523,testing,testando,noun
2524,stomach,estômago,noun
2525,apparent,aparente,adjective
2526,to weigh,pesar,verb
2527,to install,para instalar,verb
2528,sensitive,sensível,adjective
2529,suggestion,sugestão,noun
2530,mail,correspondência,noun
2531,recipe,receita,noun
2532,reasonable,razoável,adjective
2533,preparation,preparação,noun
2534,wooden,de madeira,adjective
2535,elementary,elementar,adjective
2536,concert,show,noun
2537,aggressive,agressivo,adjective
2538,falso ,falso,adjective
2539,intention,intenção,noun
2540,channel,canal,noun
2541,extreme,extremo,adjective
2542,tube,tubo,noun
2543,drawing,desenho,noun
2544,protein,proteína,noun
2545,to quit,para sair,verb
2546,absence,ausência,noun
2547,roll,rolar,noun
2548,Latin,latino,adjective
2549,rapidly,rapidamente,adverb
2550,jail,cadeia,noun
2551,to comment,comentar,verb
2552,diversity,diversidade,noun
2553,honest,honesto,adjective
2554,Palestinian,palestino,adjective
2555,pace,ritmo,noun
2556,employment,emprego,noun
2557,speaker,palestrante,noun
2558,impression,impressão,noun
2559,essay,redação,noun
2560,respondent,respondente,noun
2561,giant,gigante,adjective
2562,cake,bolo,noun
2563,historian,historiador,noun
2564,to negotiate,negociar,verb
2565,to restore,restaurar,verb
2566,substantial,substancial,adjective
2567,to pop,estourar,verb
2568,particular,especial,adverb
2569,specialist,especialista,noun
2570,origin,origem,noun
2571,approval,aprovação,noun
2572,mine,minha,noun
2573,quietly,silenciosamente,adverb
2574,to advise,para aconselhar,verb
2575,conventional,convencional,adjective
2576,drop,derrubar,noun
2577,count,contar,noun
2578,depth,profundidade,noun
2579,wealth,fortuna,noun
2580,disability,incapacidade,noun
2581,shell,Concha,noun
2582,general,em geral,adverb
2583,to criticize,criticar,verb
2584,fast,veloz,adjective
2585,professional,profissional,noun
2586,effectively,efetivamente,adverb
2587,biological,biológico,adjective
2588,pack,pacote,noun
2589,onion,cebola,noun
2590,deputy,deputado,noun
2591,flat,plano,adjective
2592,brand,marca,noun
2593,to assure,assegurar-se,verb
2594,mad,"louco, zangado",adjective
2595,award,prêmio,noun
2596,criteria,critério,noun
2597,dealer,distribuidor,noun
2598,via,através da,preposition
2599,alternative,alternativo,adjective
2600,utility,Utilitário,noun
2601,precisely,precisamente,adverb
2602,to arise,surgir,verb
2603,armed,armado,adjective
2604,nevertheless,mesmo assim,adverb
2605,highway,rodovia,noun
2606,clinical,clínico,adjective
2607,routine,rotina,noun
2608,to schedule,agendar,verb
2609,wage,remuneração,noun
2610,normally,normalmente,adverb
2611,phrase,frase,noun
2612,ingredient,ingrediente,noun
2613,stake,estaca,noun
2614,Muslim,muçulmano,adjective
2615,to dream,sonhar,verb
2616,fiber,fibra,noun
2617,activist,ativista,noun
2618,Islamic,islâmico,adjective
2619,to snap,tirar,verb
2620,terrorism,terrorismo,noun
2621,refugee,refugiado,noun
2622,to incorporate,incorporar,verb
2623,hip,quadril,noun
2624,ultimate,final,adjective
2625,to switch,mudar,verb
2626,corporation,corporação,noun
2627,valuable,valioso,adjective
2628,assumption,suposição,noun
2629,gear,engrenagem,noun
2630,to graduate,graduar-se,verb
2631,barrier,barreira,noun
2632,minor,menor,adjective
2633,provision,provisão,noun
2634,killer,assassino,noun
2635,to assign,atribuir,verb
2636,gang,gangue,noun
2637,developing,em desenvolvimento,adjective
2638,classic,clássico,adjective
2639,chemical,químico,noun
2640,to wave,acenar,verb
2641,label,rótulo,noun
2642,teen,adolescente,noun
2643,index,índice,noun
2644,vacation,período de férias,noun
2645,advocate,advogado,noun
2646,draft,"esboço, projeto",noun
2647,extraordinary,extraordinário,adjective
2648,heaven,paraíso,noun
2649,rough,"duro, difícil",adjective
2650,to yell,gritar,verb
2651,pregnant,grávida,adjective
2652,distant,distante,adjective
2653,drama,drama,noun
2654,satellite,satélite,noun
2655,personally,pessoalmente,adverb
2656,wonder,maravilha,noun
2657,clock,relógio,noun
2658,chocolate,chocolate,noun
2659,Italian,italiano,adjective
2660,Canadian,canadense,adjective
2661,ceiling,teto,noun
2662,to sweep,varrer,verb
2663,advertising,anúncio,noun
2664,universal,universal,adjective
2665,to spin,girar,verb
2666,to house,para casa,verb
2667,button,botão,noun
2668,bell,Sino,noun
2669,rank,classificação,noun
2670,darkness,Trevas,noun
2671,ahead,à frente,preposition
2672,clothing,confecções,noun
2673,super,super,adjective
2674,to yield,render-se,verb
2675,fence,cerca,noun
2676,portrait,retrato,noun
2677,paint,pintar,noun
2678,survival,sobrevivência,noun
2679,roughly,aproximadamente,adverb
2680,lawsuit,ação judicial,noun
2681,bottom,inferior,adjective
2682,testimony,testemunho,noun
2683,bunch,monte,noun
2684,beat,bater,noun
2685,to wind,vento,verb
2686,to found,encontrar,verb
2687,burden,fardo,noun
2688,to react,reagir,verb
2689,chamber,câmara,noun
2690,furniture,mobiliário,noun
2691,cooperation,cooperação,noun
2692,string,fragmento,noun
2693,ceremony,cerimônia,noun
2694,to communicate,comunicar,verb
2695,to taste,provar,verb
2696,cheek,bochecha,noun
2697,lost,perdido,adjective
2698,profile,perfil,noun
2699,mechanism,mecanismo,noun
2700,to disagree,discordar,verb
2701,like,como,adverb
2702,penalty,pena,noun
2703,match,partida,noun
2704,ie,ou seja,adverb
2705,to advance,avançar,verb
2706,resort,recorrer,noun
2707,destruction,destruição,noun
2708,bear,urso,noun
2709,unlikely,improvável,adjective
2710,tissue,tecido,noun
2711,constitutional,constitucional,adjective
2712,pant,calça,noun
2713,stranger,desconhecido,noun
2714,infection,infecção,noun
2715,cabinet,gabinete,noun
2716,broken,quebrado,adjective
2717,apple,maçã,noun
2718,electric,elétrico,adjective
2719,to proceed,prosseguir,verb
2720,to track,rastrear,verb
2721,to bet,apostar,verb
2722,literary,literário,adjective
2723,virus,vírus,noun
2724,stupid,estúpido,adjective
2725,dispute,disputa,noun
2726,fortune,fortuna,noun
2727,strategic,estratégico,adjective
2728,assistant,assistente,noun
2729,to overcome,superar,verb
2730,remarkable,extraordinário,adjective
2731,to occupy,para ocupar,verb
2732,statistics,Estatisticas,noun
2733,shopping,Shopping,noun
2734,cousin,primo,noun
2735,to encounter,encontrar,verb
2736,to wipe,para limpar,verb
2737,initially,inicialmente,adverb
2738,blind,cego,adjective
2739,white,branco,noun
2740,port,porta,noun
2741,to honor,honrar,verb
2742,electricity,eletricidade,noun
2743,genetic,genético,adjective
2744,adviser,conselheiro,noun
2745,pay,pagar,noun
2746,spokesman,porta-voz,noun
2747,to retain,reter,verb
2748,latter,último,determiner
2749,incentive,incentivo,noun
2750,slave,escravo,noun
2751,chemical,químico,adjective
2752,to translate,para traduzir,verb
2753,accurate,exato,adjective
2754,whereas,enquanto que,conjunction
2755,terror,terror,noun
2756,though,no entanto,adverb
2757,expansion,expansão,noun
2758,elite,elite,noun
2759,Olympic,olímpico,adjective
2760,dirt,sujeira,noun
2761,odd,ímpar,adjective
2762,rice,arroz,noun
2763,bullet,bala,noun
2764,tight,apertado,adjective
2765,Bible,Bíblia,noun
2766,chart,gráfico,noun
2767,solar,solar,adjective
2768,decline,declínio,noun
2769,conservative,conservador,noun
2770,to process,processar,verb
2771,square,quadrado,adjective
2772,stick,Vara,noun
2773,concentration,concentração,noun
2774,complicated,complicado,adjective
2775,gently,suavemente,adverb
2776,champion,campeão,noun
2777,scenario,cenário,noun
2778,telescope,telescópio,noun
2779,reflection,reflexão,noun
2780,revolution,revolução,noun
2781,strip,faixa,noun
2782,to interpret,interpretar,verb
2783,friendly,amigável,adjective
2784,tournament,torneio,noun
2785,fiction,ficção,noun
2786,to detect,detectar,verb
2787,to balance,equilibrar,verb
2788,likely,provável,adverb
2789,tremendous,tremendo,adjective
2790,lifetime,vida,noun
2791,recommendation,recomendação,noun
2792,to flow,fluir,verb
2793,senator,senador,noun
2794,to market,ao mercado,verb
2795,hunting,Caçando,noun
2796,salad,salada,noun
2797,to guarantee,garantir,verb
2798,innocent,inocente,adjective
2799,boundary,fronteira,noun
2800,to pause,pausar,verb
2801,remote,remoto,adjective
2802,satisfaction,satisfação,noun
2803,journal,Diário,noun
2804,bench,banco de sentar,noun
2805,lover,amante,noun
2806,raw,cru,adjective
2807,awareness,consciência,noun
2808,surprising,surpreendente,adjective
2809,to withdraw,sacar,verb
2810,general,em geral,noun
2811,deck,área coberta,noun
2812,similarly,similarmente,adverb
2813,newly,recentemente,adverb
2814,pole,pólo,noun
2815,to testify,testemunhar,verb
2816,mode,modo,noun
2817,dialogue,diálogo,noun
2818,to imply,implicar,verb
2819,naturally,naturalmente,adverb
2820,mutual,mútuo,adjective
2821,founder,fundador,noun
2822,top,topo,preposition
2823,advanced,avançado,adjective
2824,pride,orgulho,noun
2825,to dismiss,dispensar,verb
2826,aircraft,aeronave,noun
2827,delivery,Entrega,noun
2828,mainly,principalmente,adverb
2829,to bake,assar,verb
2830,to freeze,congelar,verb
2831,platform,plataforma,noun
2832,finance,finança,noun
2833,to sink,afundar,verb
2834,attractive,atraente,adjective
2835,to respect,respeitar,verb
2836,diverse,diverso,adjective
2837,relevant,relevante,adjective
2838,ideal,ideal,adjective
2839,joy,alegria,noun
2840,worth,valor,noun
2841,regularly,regularmente,adverb
2842,working,trabalhador,adjective
2843,singer,cantor,noun
2844,to evolve,evoluir,verb
2845,shooting,tiroteio,noun
2846,partly,parcialmente,adverb
2847,unknown,desconhecido,adjective
2848,assistant,assistente,adjective
2849,offense,ofensa,noun
2850,counter,contador,noun
2851,DNA,ADN,noun
2852,smell,cheiro,noun
2853,potentially,potencialmente,adverb
2854,transfer,transferir,noun
2855,thirty,trinta,number
2856,to justify,justificar,verb
2857,protest,protesto,noun
2858,crash,colidir,noun
2859,craft,construir,noun
2860,treaty,tratado,noun
2861,terrorist,terrorista,noun
2862,insight,entendimento,noun
2863,to possess,possuir,verb
2864,politically,politicamente,adverb
2865,to tap,tocar,verb
2866,lie,mentira,noun
2867,extensive,extenso,adjective
2868,episode,episódio,noun
2869,to double,dobrar,verb
2870,to swim,nadar,verb
2871,to tire,cansar,verb
2872,fault,culpa,noun
2873,loose,"solto, froxo",adjective
2874,to free,"liberar, libertar",verb
2875,shortly,em breve,adverb
2876,originally,originalmente,adverb
2877,considerable,considerável,adjective
2878,prior,prévio,preposition
2879,intellectual,intelectual,adjective
2880,mix,misturar,noun
2881,assault,assalto,noun
2882,to relax,relaxar,verb
2883,stair,escada,noun
2884,adventure,aventura,noun
2885,external,externo,adjective
2886,proof,prova,noun
2887,confident,confiante,adjective
2888,headquarters,quartel general,noun
2889,sudden,de repente,adjective
2890,dirty,sujo,adjective
2891,violation,violação,noun
2892,tongue,língua,noun
2893,license,licença,noun
2894,hold,aguarde,noun
2895,shelter,abrigo,noun
2896,to rub,esfregar,verb
2897,controversy,controvérsia,noun
2898,entrance,entrada,noun
2899,favorite,favorito,noun
2900,to practice,praticar,verb
2901,properly,devidamente,adverb
2902,to fade,desaparecer,verb
2903,defensive,defensiva,adjective
2904,tragedy,tragédia,noun
2905,net,internet,noun
2906,to characterize,caracterizar,verb
2907,funeral,funeral,noun
2908,profession,profissão,noun
2909,to alter,para alterar,verb
2910,to spot,localizar,verb
2911,to constitute,constituir,verb
2912,establishment,estabelecimento,noun
2913,to squeeze,espremer,verb
2914,imagination,imaginação,noun
2915,to target,marcar,verb
2916,mask,mascarar,noun
2917,to convert,converter,verb
2918,comprehensive,compreensivo,adjective
2919,prominent,proeminente,adjective
2920,presentation,apresentação,noun
2921,regardless,sem considerar,adverb
2922,easy,fácil,adverb
2923,to load,carregar,verb
2924,stable,estável,adjective
2925,introduction,introdução,noun
2926,to appeal,apelar,verb
2927,to pretend,fingir,verb
2928,not,não,conjunction
2929,elderly,idoso,adjective
2930,representation,representação,noun
2931,deer,cervo,noun
2932,to split,dividir,verb
2933,to violate,violar,verb
2934,partnership,parceria,noun
2935,pollution,poluição,noun
2936,emission,emissão,noun
2937,steady,estável,adjective
2938,vital,vital,adjective
2939,neither,"nem, nenhum",determiner
2940,fate,destino,noun
2941,earnings,ganhos,noun
2942,oven,forno,noun
2943,distinction,distinção,noun
2944,segment,segmento,noun
2945,nowhere,lugar algum,adverb
2946,poet,poeta,noun
2947,mere,mero,adjective
2948,exciting,excitante,adjective
2949,variation,variação,noun
2950,comfort,conforto,noun
2951,radical,radical,adjective
2952,to stress,estressar,verb
2953,to adapt,para adaptar,verb
2954,Irish,irlandês,adjective
2955,honey,querida,noun
2956,correspondent,correspondente,noun
2957,pale,pálido,adjective
2958,musician,músico,noun
2959,significance,significado,noun
2960,load,carregar,noun
2961,round,redondo,adjective
2962,vessel,navio,noun
2963,storage,armazenar,noun
2964,to flee,fugir,verb
2965,mm-hmm,mm-hmm,u
2966,leather,couro,noun
2967,to distribute,distribuir,verb
2968,evolution,evolução,noun
2969,ill,doente,adjective
2970,tribe,tribo,noun
2971,shelf,prateleira,noun
2972,can,posso,noun
2973,grandfather,Vô,noun
2974,lawn,grama,noun
2975,buyer,comprador,noun
2976,dining,jantar,noun
2977,wisdom,sabedoria,noun
2978,council,conselho,noun
2979,vulnerable,vulnerável,adjective
